time,open,high,low,close,Volume
2024-04-19T19:10:00+02:00,4988.89,4990.18,4986.68,4987.35,NaN
2024-04-19T19:15:00+02:00,4987.29,4991.88,4983.96,4990.9,NaN
2024-04-19T19:20:00+02:00,4990.99,4991.6,4986.32,4987.58,NaN
2024-04-19T19:25:00+02:00,4987.62,4988.34,4980.4,4980.82,NaN
2024-04-19T19:30:00+02:00,4980.73,4986.21,4980.63,4984.63,NaN
2024-04-19T19:35:00+02:00,4984.63,4985.47,4980.58,4980.58,NaN
2024-04-19T19:40:00+02:00,4980.65,4985.32,4980.65,4983.25,NaN
2024-04-19T19:45:00+02:00,4983.31,4990.57,4983.31,4990.47,NaN
2024-04-19T19:50:00+02:00,4990.54,4998.45,4990.45,4997.83,NaN
2024-04-19T19:55:00+02:00,4997.87,4999.1,4985.95,4988.08,NaN
2024-04-19T20:00:00+02:00,4987.96,4988.36,4976.53,4977.91,NaN
2024-04-19T20:05:00+02:00,4977.86,4985.32,4973.37,4978.82,NaN
2024-04-19T20:10:00+02:00,4978.78,4982.44,4977.95,4977.95,NaN
2024-04-19T20:15:00+02:00,4977.98,4980.33,4973.43,4979.9,NaN
2024-04-19T20:20:00+02:00,4979.83,4981.52,4977.95,4980.9,NaN
2024-04-19T20:25:00+02:00,4980.91,4980.91,4970.19,4970.22,NaN
2024-04-19T20:30:00+02:00,4969.83,4974.28,4969.62,4972.28,NaN
2024-04-19T20:35:00+02:00,4972.24,4972.9,4963.21,4963.44,NaN
2024-04-19T20:40:00+02:00,4963.57,4963.57,4958.38,4958.38,NaN
2024-04-19T20:45:00+02:00,4958.44,4963.01,4955.6,4962.69,NaN
2024-04-19T20:50:00+02:00,4962.8,4964.41,4957.79,4960.48,NaN
2024-04-19T20:55:00+02:00,4960.32,4966.72,4959.4,4963.81,NaN
2024-04-19T21:00:00+02:00,4963.92,4964.89,4959.4,4962.07,NaN
2024-04-19T21:05:00+02:00,4961.78,4966.58,4956.34,4965.22,NaN
2024-04-19T21:10:00+02:00,4964.84,4971.55,4962.97,4968.35,NaN
2024-04-19T21:15:00+02:00,4968.62,4968.72,4961.9,4966.95,NaN
2024-04-19T21:20:00+02:00,4966.79,4967.77,4963.5,4963.5,NaN
2024-04-19T21:25:00+02:00,4963.39,4969.69,4961.15,4966.14,NaN
2024-04-19T21:30:00+02:00,4966.18,4967.65,4963.27,4965.09,NaN
2024-04-19T21:35:00+02:00,4965.12,4965.48,4956.01,4960.24,NaN
2024-04-19T21:40:00+02:00,4961.04,4961.04,4954.42,4959.19,NaN
2024-04-19T21:45:00+02:00,4959.94,4962.64,4953.56,4960.32,NaN
2024-04-19T21:50:00+02:00,4958.71,4965.93,4958.02,4965.93,NaN
2024-04-19T21:55:00+02:00,4965.89,4969.94,4964.09,4967.19,NaN
2024-04-19T22:00:00+02:00,4967.16,4967.27,4967.16,4967.24,NaN
