,time,open,high,low,close
1605,2024-10-17 17:00:00+00:00,5862.67,5866.23,5860.24,5862.73
1606,2024-10-17 18:00:00+00:00,5862.81,5863.14,5843.4,5852.0
1607,2024-10-17 19:00:00+00:00,5852.07,5852.53,5840.24,5841.47
1608,2024-10-17 20:00:00+00:00,5841.76,5841.76,5841.42,5841.48
1609,2024-10-18 13:00:00+00:00,5859.42,5863.65,5846.1,5851.47
1610,2024-10-18 14:00:00+00:00,5851.22,5858.84,5849.53,5853.04
1611,2024-10-18 15:00:00+00:00,5852.97,5863.51,5852.77,5857.4
1612,2024-10-18 16:00:00+00:00,5857.45,5871.1,5855.86,5866.1
1613,2024-10-18 17:00:00+00:00,5866.14,5869.41,5863.96,5864.4
1614,2024-10-18 18:00:00+00:00,5864.12,5872.18,5857.96,5867.48
1615,2024-10-18 19:00:00+00:00,5867.49,5867.49,5859.7,5864.51
1616,2024-10-18 20:00:00+00:00,5864.45,5864.7,5864.45,5864.68
1617,2024-10-21 13:00:00+00:00,5857.81,5863.73,5855.92,5859.14
1618,2024-10-21 14:00:00+00:00,5859.74,5866.91,5840.52,5844.22
1619,2024-10-21 15:00:00+00:00,5844.18,5844.73,5824.79,5842.05
1620,2024-10-21 16:00:00+00:00,5842.02,5847.01,5837.27,5846.83
1621,2024-10-21 17:00:00+00:00,5846.92,5852.03,5845.37,5851.3
1622,2024-10-21 18:00:00+00:00,5851.34,5851.58,5841.6,5842.19
1623,2024-10-21 19:00:00+00:00,5842.22,5854.77,5840.63,5854.77
1624,2024-10-21 20:00:00+00:00,5854.69,5854.69,5853.97,5853.97
1625,2024-10-22 13:00:00+00:00,5832.69,5832.79,5821.18,5831.89
1626,2024-10-22 14:00:00+00:00,5832.48,5840.03,5829.04,5838.31
1627,2024-10-22 15:00:00+00:00,5838.28,5842.47,5834.4,5838.7
1628,2024-10-22 16:00:00+00:00,5838.74,5844.57,5834.53,5843.92
1629,2024-10-22 17:00:00+00:00,5843.87,5858.16,5841.53,5858.12
1630,2024-10-22 18:00:00+00:00,5858.12,5863.03,5847.39,5848.72
1631,2024-10-22 19:00:00+00:00,5848.72,5860.38,5847.52,5851.08
1632,2024-10-22 20:00:00+00:00,5851.15,5851.29,5851.15,5851.19
1633,2024-10-23 13:00:00+00:00,5834.49,5834.73,5827.88,5831.42
1634,2024-10-23 14:00:00+00:00,5831.41,5834.86,5819.11,5823.29
1635,2024-10-23 15:00:00+00:00,5823.33,5825.54,5805.97,5816.48
1636,2024-10-23 16:00:00+00:00,5816.68,5816.68,5794.69,5799.56
1637,2024-10-23 17:00:00+00:00,5799.51,5799.51,5776.29,5777.15
1638,2024-10-23 18:00:00+00:00,5777.14,5789.95,5762.4,5789.66
1639,2024-10-23 19:00:00+00:00,5789.57,5799.09,5785.05,5797.58
1640,2024-10-23 20:00:00+00:00,5797.31,5797.43,5797.25,5797.43
1641,2024-10-24 13:00:00+00:00,5817.79,5817.79,5803.92,5812.55
1642,2024-10-24 14:00:00+00:00,5812.93,5817.26,5803.77,5806.12
1643,2024-10-24 15:00:00+00:00,5806.17,5811.73,5788.68,5799.38
1644,2024-10-24 16:00:00+00:00,5799.5,5807.55,5784.93,5806.63
1645,2024-10-24 17:00:00+00:00,5806.61,5813.27,5802.83,5802.86
1646,2024-10-24 18:00:00+00:00,5803.04,5811.28,5800.05,5806.51
1647,2024-10-24 19:00:00+00:00,5806.58,5816.22,5801.13,5809.25
