Date;open;high;low;close
11-4-22 19:00;4438.7;4444.01;4408.38;4413.39
11-4-22 20:00;4413.31;4413.31;4412.53;4412.53
12-4-22 13:00;4437.59;4471;4437.59;4465.74
12-4-22 14:00;4465.34;4467.09;4437.16;4440.72
12-4-22 15:00;4440.68;4459.13;4437.6;4450.61
12-4-22 16:00;4450.7;4451.52;4427.34;4434.75
12-4-22 17:00;4434.67;4439.88;4408.29;4409.87
12-4-22 18:00;4409.78;4416.95;4394.4;4402.09
12-4-22 19:00;4402.18;4403.59;4381.34;4397.95
12-4-22 20:00;4397.12;4397.45;4397.12;4397.45
13-4-22 13:00;4394.3;4415.27;4392.7;4403.55
13-4-22 14:00;4403.8;4412.67;4397.02;4411.54
13-4-22 15:00;4411.82;4432.75;4411.46;4423.73
13-4-22 16:00;4423.87;4439.44;4421.59;4434.63
13-4-22 17:00;4434.68;4441.71;4429.32;4433.7
13-4-22 18:00;4433.66;4443.32;4431.49;4441.96
13-4-22 19:00;4441.89;4453.92;4437.26;4446.84
13-4-22 20:00;4446.79;4446.89;4446.59;4446.59
14-4-22 13:00;4449.12;4460.46;4431.26;4435.17
14-4-22 14:00;4435.39;4442.31;4419.77;4428.14
14-4-22 15:00;4427.94;4435.27;4419.67;4421.37
14-4-22 16:00;4421.42;4424.76;4408.12;4413.77
14-4-22 17:00;4413.78;4426.14;4409.79;4426.08
14-4-22 18:00;4426.05;4431.32;4407.1;4407.11
14-4-22 19:00;4407.05;4412.74;4390.77;4392.44
14-4-22 20:00;4392.54;4392.66;4392.54;4392.59
18-4-22 13:00;4385.63;4408.21;4382.77;4390.76
18-4-22 14:00;4390.73;4408.1;4386.06;4399.54
18-4-22 15:00;4399.48;4402.58;4376.22;4385.32
18-4-22 16:00;4385.31;4385.61;4370.48;4379.29
18-4-22 17:00;4379.28;4410.31;4377.96;4405.08
18-4-22 18:00;4405.03;4409.98;4397.04;4397.67
18-4-22 19:00;4397.49;4398.64;4370.3;4392.04
18-4-22 20:00;4392.61;4392.61;4391.69;4391.69
19-4-22 13:00;4390.63;4427.05;4390.63;4427.01
19-4-22 14:00;4427.15;4451.16;4425;4444.85
19-4-22 15:00;4445.07;4455.81;4441.68;4450.9
19-4-22 16:00;4450.82;4453.44;4444.89;4447.6
19-4-22 17:00;4447.61;4451.74;4440.58;4449.56
19-4-22 18:00;4449.57;4451.6;4438.62;4451.31
19-4-22 19:00;4451.29;4471.03;4449.42;4463.52
19-4-22 20:00;4462.84;4462.99;4462.21;4462.21
20-4-22 13:00;4472.26;4488.29;4458.12;4462.49
20-4-22 14:00;4462.95;4485.43;4457.58;4482.3
20-4-22 15:00;4482.63;4482.81;4464.05;4473.66
20-4-22 16:00;4473.68;4479.34;4461.37;4475.92
20-4-22 17:00;4475.96;4484.77;4473.02;4479.5
20-4-22 18:00;4479.51;4481.77;4448.76;4453.25
20-4-22 19:00;4453.38;4476.89;4452.85;4459.55
20-4-22 20:00;4459.95;4459.95;4459.39;4459.45
21-4-22 13:00;4489.17;4512.94;4489.17;4506.64
21-4-22 14:00;4506.8;4507.29;4482.58;4486.61
21-4-22 15:00;4486.58;4489.07;4459.82;4459.88
21-4-22 16:00;4459.85;4462.74;4439.39;4439.55
21-4-22 17:00;4439.63;4448.25;4427.07;4430.29
21-4-22 18:00;4430.23;4431.18;4402.38;4405.26
21-4-22 19:00;4405.28;4408.27;4384.47;4395.04
21-4-22 20:00;4393.26;4393.8;4393.26;4393.66
22-4-22 13:00;4385.83;4385.83;4351.84;4355.15
22-4-22 14:00;4355.44;4371.75;4335.16;4336.03
22-4-22 15:00;4336.11;4346.9;4316.2;4316.52
22-4-22 16:00;4316.5;4330.67;4311.6;4316.47
22-4-22 17:00;4316.44;4318.87;4300.45;4300.45
22-4-22 18:00;4300.37;4311.68;4281.01;4286.4
22-4-22 19:00;4286.51;4315.69;4267.62;4272.28
22-4-22 20:00;4271.84;4272.16;4271.78;4271.78
25-4-22 13:00;4255.34;4255.34;4214.72;4214.72
25-4-22 14:00;4214.47;4255.92;4212.35;4219.16
25-4-22 15:00;4219.2;4233.48;4200.82;4210.13
25-4-22 16:00;4209.89;4244.02;4204.4;4232.7
25-4-22 17:00;4232.79;4249.03;4223.01;4236.65
25-4-22 18:00;4236.71;4279.51;4230.44;4267.62
25-4-22 19:00;4267.56;4299.02;4251.75;4297.32
